"object_category_Id";"ID";"Name";"AdmArea";"District";"Address";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"object_category_Id";"Код";"Наименование";"Административный округ";"Район";"Адрес";"Долгота в WGS-84";"Широта в WGS-84";"global_id";"geodata_center";"geoarea";
"";"450";"Станция №235, 22 кВт";"Северный административный округ";"район Левобережный";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Левобережный, Валдайский проезд, дом 6";"37.46804";"55.86512";"2566641715";"";"";
"";"452";"Станция №237, 22 кВт";"Северный административный округ";"Савёловский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Полтавская улица, дом 6";"37.57355";"55.79558";"2566641717";"";"";
"";"485";"Станция №238, 22 кВт";"Северный административный округ";"район Аэропорт";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, улица Усиевича, дом 29, строение 2";"37.51932";"55.8066";"2566641718";"";"";
"";"486";"Станция №239, 22 кВт";"Северный административный округ";"Хорошёвский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, 4-я Магистральная улица, дом 11";"37.51679";"55.770304";"2566641719";"";"";
"";"483";"Станция №240, 22 кВт";"Северо-Западный административный округ";"район Щукино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Расплетина, дом 22, корпус 1";"37.483363";"55.794307";"2566641720";"";"";
"";"525";"Станция №241, 22 кВт";"Северный административный округ";"Войковский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, улица Адмирала Макарова, дом 10, строение 1";"37.48825";"55.83754";"2566641721";"";"";
"";"584";"Станция №242, 22 кВт";"Северный административный округ";"Головинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Головинский, Ленинградское шоссе, дом 58, корпус 17";"37.482372";"55.844093";"2566641722";"";"";
"";"512";"Станция №244, 22 кВт";"Северо-Западный административный округ";"район Строгино";"город Москва, Таллинская улица, дом 19, корпус 1, строение 1";"37.404258";"55.799831";"2566641723";"";"";
"";"546";"Станция №245, 22 кВт";"Западный административный округ";"район Кунцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Бобруйская улица, дом 3";"37.40259";"55.73571";"2566641724";"";"";
"";"487";"Станция №246, 22 кВт";"Западный административный округ";"район Крылатское";"город Москва, улица Крылатские Холмы, дом 33, корпус 1, строение 1";"37.4196";"55.75751";"2566641725";"";"";
"";"474";"Станция №248, 22 кВт";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Трифоновская улица, дом 49";"37.62737";"55.78891";"2566641726";"";"";
"";"585";"Станция №251, 22 кВт";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Хомутовский тупик, дом 4, корпус 1";"37.65454";"55.76648";"2566641727";"";"";
"";"453";"Станция №254, 50 кВт";"Центральный административный округ";"район Хамовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Плющиха, дом 42";"37.577222";"55.741838";"2566641728";"";"";
"";"459";"Станция №255, 50 кВт";"Северный административный округ";"район Сокол";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, улица Алабяна, дом 19, корпус 1";"37.50303";"55.79877";"2566641730";"";"";
"";"488";"Станция №256, 22 кВт";"Северный административный округ";"район Беговой";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, Скаковая улица, дом 34, корпус 1";"37.5729";"55.77747";"2566641731";"";"";
"";"427";"Станция №257, 22 кВт";"Северный административный округ";"район Сокол";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, улица Зорге, дом 28, корпус 1";"37.506559";"55.791516";"2566641732";"";"";
"";"562";"Станция №258, 22 кВт";"Северный административный округ";"Войковский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, улица Зои и Александра Космодемьянских, дом 11-15, строение 1А";"37.51402";"55.821959";"2566641733";"";"";
"";"466";"Станция №259, 50 кВт";"Северный административный округ";"Тимирязевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, проезд Соломенной Сторожки, дом 12";"37.562728";"55.808248";"2566641734";"";"";
"";"429";"Станция №260, 22 кВт";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Пырьева, дом 5А";"37.526749";"55.725636";"2566641735";"";"";
"";"554";"Станция №262, 22 кВт";"Западный административный округ";"район Раменки";"город Москва, поселение Вороновское, территория СНТ ""Дружба-ЗИО"", владение 19, строение 1";"37.522314";"55.712587";"2566641736";"";"";
"";"531";"Станция №263, 22 кВт";"Западный административный округ";"район Проспект Вернадского";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, улица Удальцова, дом 5, корпус 3";"37.516575";"55.672499";"2566641737";"";"";
"";"456";"Станция №264, 50 кВт";"Южный административный округ";"Донской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 36";"37.585595";"55.709411";"2566641738";"";"";
"";"489";"Станция №265, 22 кВт";"Юго-Западный административный округ";"Академический район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кедрова, дом 4, корпус 1";"37.56405";"55.68644";"2566641739";"";"";
"";"526";"Станция №266, 22 кВт";"Юго-Западный административный округ";"Академический район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, Новочерёмушкинская улица, дом 23, корпус 1";"37.579322";"55.68157";"2566641741";"";"";
"";"484";"Станция №267, 22 кВт";"Юго-Западный административный округ";"район Котловка";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, улица Дмитрия Ульянова, дом 51";"37.596053";"55.680386";"2566641742";"";"";
"";"433";"Станция №268, 22 кВт";"Юго-Западный административный округ";"район Черёмушки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Севастопольский проспект, дом 28, корпус 5, строение 1";"37.577133";"55.664352";"2566641743";"";"";
"";"513";"Станция №269, 22 кВт";"Юго-Западный административный округ";"район Зюзино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Одесская улица, дом 6, строение 4";"37.59513";"55.66016";"2566641744";"";"";
"";"568";"Станция №270, 22 кВт";"Южный административный округ";"Донской район";"город Москва, Загородное шоссе, дом 18А, строение 16";"37.59851";"55.694665";"2566641745";"";"";
"";"514";"Станция №271, 22 кВт";"Южный административный округ";"Донской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Загородное шоссе, дом 9, корпус 3";"37.60789";"55.69395";"2566641746";"";"";
"";"490";"Станция №273, 22 кВт";"Южный административный округ";"район Нагатино-Садовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, 1-й Нагатинский проезд, дом 11, корпус 3";"37.632718";"55.677062";"2566641747";"";"";
"";"558";"Станция №274, 22 кВт";"Южный административный округ";"район Нагатино-Садовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, проспект Андропова, дом 42, корпус 1";"37.66172";"55.67149";"2566641748";"";"";
"";"502";"Станция №275, 22 кВт";"Южный административный округ";"район Нагатинский Затон";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Нагатинская набережная, дом 56";"37.68876";"55.69068";"2566641749";"";"";
"";"559";"Станция №276, 22 кВт";"Южный административный округ";"район Нагатинский Затон";"город Москва, улица Новинки, дом 27, строение 1";"37.67639";"55.67627";"2566641750";"";"";
"";"503";"Станция №277, 22 кВт";"Южный административный округ";"район Нагатинский Затон";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Судостроительная улица, дом 40";"37.67356";"55.686505";"2566641751";"";"";
"";"569";"Станция №279, 22 кВт";"Юго-Восточный административный округ";"Южнопортовый район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Волгоградский проспект, дом 32, корпус 2";"37.689005";"55.724324";"2566641752";"";"";
"";"445";"Станция №280, 50 кВт";"Юго-Восточный административный округ";"Нижегородский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нижегородский, Рязанский проспект, дом 2, корпус 2";"37.73817";"55.7309";"2566641753";"";"";
"";"515";"Станция №281, 22 кВт";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Большая Калитниковская улица, дом 42А";"37.68786";"55.73652";"2566641754";"";"";
